Nº de Encuesta	Fecha de la  Aplicación de la Encuesta	Hora Inicio	"Condición del Encuestado Usuario (1)
Acompañante (2)"	Edad en años	Sexo M(1) F(2)	Nivel de Estudio Analfabeto (1) Primaria (2) Secundaria(3) Superior Tecnico(4) Superior Universitario (5)	"¿Tipo de seguro por el cual se atiende? 
SIS (1)
SOAT (2),
Ninguno (3)
Otro (4)"	"Tipo de paciente
 Nuevo (1),
Continuador (2)"	Especialidad donde fue atendido	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	Hora Final	Encuestadora	Duracion									
32	2019/10/09	09:54	2	44	2	3	3	2	C-CBM	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	2	2	2	6	2	4	5	5	99	6	1	4	5	6	6	5	5	5	4	5	4	1	10:06	SNR	00:12									
33	2019/10/09	10:23	2	42	2	4	1	2	CM-MA	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	1	7	7	99	99	6	7	7	7	7	7	7	3	7	6	7	7	6	7	10:34	SNR	00:11									
34	2019/10/09	10:36	2	32	2	3	3	2	CM-UCA	5	4	5	5	5	5	5	4	5	5	4	5	5	5	5	5	6	5	5	6	4	4	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	10:48	SNR	00:12									
35	2019/10/09	14:33	2	43	2	3	1	2	CM-PT	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	5	5	6	6	99	99	99	5	5	5	5	5	5	6	5	5	5	5	6	6	14:45	SNR	00:12									
36	2019/10/09	14:47	2	40	2	3	1	2	CM-NEF	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	4	6	7	5	2	4	99	6	7	7	6	7	6	6	6	7	7	6	6	7	7	14:59	SNR	00:12									
37	2019/10/09	12:22	2	49	2	3	1	2	C-MEA	6	7	6	7	6	5	5	6	5	7	7	7	7	7	7	7	7	7	6	6	6	6	5	5	6	6	4	4	99	7	5	7	5	6	6	5	6	6	6	6	6	5	5	5	12:33	RLN	00:11									
38	2019/10/09	12:10	2	31	2	3	1	2	C-PC	6	7	6	6	7	6	6	6	7	6	6	6	7	7	7	7	7	7	7	7	7	6	7	5	6	5	6	5	99	99	99	7	6	7	7	7	7	7	99	99	7	5	6	6	12:20	RLN	00:10									
39	2019/10/09	11:56	2	33	2	3	1	2	C-OO	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	7	4	5	6	4	3	99	6	5	6	6	5	6	6	6	6	6	5	5	6	5	6	12:07	RLN	00:11									
40	2019/10/09	11:40	2	39	2	4	1	2	CM-NRP	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	6	6	5	6	6	3	4	5	4	4	6	5	6	6	5	7	6	5	5	6	6	7	6	11:51	RLN	00:11									
41	2019/10/09	11:27	2	30	2	3	1	2	CM-NEF	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6	5	5	99	99	5	7	6	7	7	6	7	6	6	6	7	5	7	7	11:38	RLN	00:11									
42	2019/10/09	11:15	2	25	2	3	1	2	CM-P1A	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6	4	3	4	99	4	7	6	6	6	6	6	6	6	6	6	5	6	5	11:25	RLN	00:10									
